lon_cont1,lon_cont2,lon_cont3,lon_cont4,lon_cont5,lon_cont6,lon_cont7,lon_cont8,lon_cont9,lon_cont10,lon_cont11,lon_cont12,lon_cont13,lon_cont14,lon_cont15,lon_cont16,lon_cont17,lon_cont18,lon_cont19,lon_cont20,lon_cont21,lon_cont22,lon_cont23,lon_cont24,lon_cont25,lon_cont26,lon_cont27,lon_cont28,lon_cont29,lon_cont30,lon_cont31,lon_cont32,lon_cont33,lon_cont34,lon_cont35,lon_cont36,lon_cont37,lon_cont38,lon_cont39,lon_cont40,lon_cont41,lon_cont42,lon_cont43,lon_cont44,lon_cont45,lon_cont46,lon_cont47,lon_cont48,lon_cont49,lon_cont50,lon_cont51,lon_cont52,lon_cont53,lon_cont54,lon_cont55,lon_cont56,lon_cont57,lon_cont58,lon_cont59,lon_cont60,lon_cont61,lon_cont62,lon_cont63,lon_cont64,lon_cont65,lon_cont66,lon_cont67,lon_cont68,lon_cont69,lon_cont70,lon_cont71,lon_cont72,lon_cont73,lon_cont74,lon_cont75,lon_cont76,lon_cont77,lon_cont78,lon_cont79,lon_cont80,lon_cont81,lon_cont82,lon_cont83,lon_cont84,lon_cont85,lon_cont86,lon_cont87,lon_cont88,lon_cont89,lon_cont90,lon_cont91,lon_cont92,lon_cont93,lon_cont94,lon_cont95,lon_cont96,lon_cont97,lon_cont98
10.375,10.375,10.125,10.125,10.375,10.375,10.625,10.125,9.875,10.625,10.625,10.875,10.375,10.375,9.375,9.125,9.125,8.875,8.875,8.875,9.625,9.375,9.625,9.375,9.375,9.375,8.125,9.375,7.875,9.375,9.125,8.875,8.875,8.875,8.875,8.875,8.875,8.625,8.625,8.375,7.375,7.375,7.375,7.125,7.125,7.125,7.125,7.125,7.125,7.125,7.125,7.125,7.125,7.125,7.125,7.125,7.125,7.125,8.125,7.125,7.125,7.125,7.125,7.125,7.125,7.125,7.125,7.375,7.125,7.125,8.125,7.125,7.125,7.125,7.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,7.875,7.875,7.875,6.875,6.875,6.875,6.875,6.875,6.875,6.875,6.875,6.875,6.875
10.625,10.4548188568011,10.1881298230389,10.1457924938178,10.4591461542559,10.625,10.375,10.169500009208,9.96575138156176,10.375,10.375,10.8060537429648,10.125,10.125,9.42670791120437,9.23481388792011,9.13078273736813,9.08122933127212,8.92952779238461,9.02123677087023,9.53552885779271,9.125,9.375,9.125,9.15252426315688,9.125,8.375,9.28804613011447,8.125,9.20144593108847,9.03075477332763,8.83715209117745,8.625,8.625,8.625,8.625,8.625,8.375,8.375,8.125,7.625,7.625,7.625,7.29210532792715,7.28575419076795,7.34265773510901,7.31251176996932,7.22097680996919,7.375,7.375,7.375,7.375,7.375,7.3500688410724,7.16941190025131,7.375,7.375,7.375,8.11350604569798,7.3528899915192,7.13259720915977,7.34512111587231,7.16744882627961,7.16576367774094,7.22914086177798,7.27279554353196,7.24786799273559,7.625,7.26336633809105,7.22886120756835,8.1075497687446,7.15534405012525,7.13373659436318,7.375,7.36837845196128,7.90065562006348,7.875,8.08736920642789,8.06709117079469,7.94877201457562,7.88582377115435,8.11016897872791,8.06046943448395,8.05869535214851,7.98486761476336,7.625,7.85662163706385,7.79450939057235,6.99174966211319,7.02585049105864,6.99506903865646,7.03848031333779,7.1079347279043,7.125,7.125,7.125,7.125,7.125
10.7182510539094,10.625,10.375,10.375,10.625,10.6505202582606,10.2344148313913,10.375,10.0946025523147,10.125,10.125,10.7499199949673,9.94580162459863,9.875,9.625,9.375,9.375,9.125,9.125,9.125,9.375,8.875,9.125,8.875,9.125,8.875,8.625,9.125,8.36515622504651,9.125,8.875,8.79485264972934,8.375,8.375,8.375,8.375,8.375,8.1564209563027,8.125,7.875,7.875,7.875,7.875,7.375,7.375,7.375,7.375,7.375,7.625,7.625,7.625,7.625,7.625,7.375,7.375,7.625,7.625,7.625,7.92443513892022,7.375,7.375,7.375,7.375,7.375,7.375,7.375,7.375,7.875,7.375,7.375,7.875,7.375,7.375,7.40154350199976,7.375,7.875,7.82730209510518,7.875,7.875,7.875,7.875,7.875,7.875,7.875,7.875,7.375,7.625,7.625,7.125,7.125,7.125,7.125,7.125,7.375,7.375,7.375,7.375,7.375
10.7456450006422,10.7303921184418,10.5722807717778,10.5513549518155,10.7276750100794,10.7299179072484,10.1524505293728,10.625,10.125,10.0540805960086,10.0244079321494,10.679220065916,9.875,9.85844269739105,9.875,9.625,9.625,9.375,9.375,9.375,9.125,8.625,8.875,8.625,8.875,8.80977907561944,8.62932913624469,8.875,8.375,8.875,8.74270222475499,8.625,8.125,8.125,8.21483386270445,8.15144542659885,8.18919086040278,8.125,8.12310631963471,7.625,8.125,8.125,8.125,7.625,7.625,7.625,7.625,7.625,7.875,7.875,7.875,7.875,7.875,7.625,7.625,7.875,7.875,7.875,7.875,7.625,7.41178692228462,7.625,7.43759476144143,7.43755168014078,7.56637857471115,7.625,7.59239308313715,8.08782620756415,7.59793827083866,7.54987369892809,7.625,7.4763087590144,7.43895466165345,7.625,7.625,7.625,7.625,7.6320088345862,7.625,7.625,7.625,7.7710464881373,7.66358409370188,7.625,7.625,7.125,7.375,7.375,7.375,7.375,7.375,7.375,7.375,7.625,7.625,7.625,7.625,7.625
10.625,10.7478044418262,10.625,10.625,10.792419921949,10.625,10.1340599642095,10.677008106757,10.375,9.875,9.875,10.625,9.625,9.625,10.125,9.875,9.875,9.625,9.625,9.625,8.90929354327166,8.40686602353235,8.625,8.375,8.625,8.625,8.875,8.62772972203309,8.625,8.77401356055383,8.625,8.375,7.875,8.02605334709992,8.125,8.125,8.125,7.875,7.875,7.53380691068655,8.375,8.375,8.375,7.875,7.875,7.875,7.875,7.875,8.125,8.125,8.125,8.08227747736932,8.04472549731186,7.875,7.875,7.95885779566932,8.03767274401971,8.08107421732185,7.625,7.875,7.625,7.875,7.625,7.625,7.625,7.875,7.625,8.04167101635335,7.625,7.625,7.51087868887701,7.625,7.625,7.875,7.875,7.375,7.375,7.625,7.61507656034882,7.375,7.375,7.625,7.625,7.53450621841137,7.375,6.95231427522404,7.125,7.125,7.625,7.625,7.62167083011596,7.52293977749006,7.40225846908854,7.875,7.875,7.82002495021022,7.80538958866025,7.76555944097659
10.375,10.625,10.8113804587223,10.8147171480294,10.6277746115186,10.5362715536671,10.375,10.7630294470976,10.625,9.86956420488577,9.78782491121224,10.375,9.5376085759701,9.375,10.3612704664974,10.125,10.125,9.875,9.875,9.7129651537962,8.875,8.44852725852397,8.375,8.13687227847604,8.375,8.375,9.125,8.625,8.79924991674645,8.625,8.44665476821841,8.125,7.7337046416876,7.875,7.875,7.875,7.875,7.625,7.625,7.375,8.49396941536527,8.46293291251736,8.46191890287477,8.125,8.125,8.125,8.125,8.125,8.18921020514109,8.16890642272508,8.1325634462536,8.125,8.125,7.88183158738361,7.95048520149494,8.07587465188858,8.125,8.125,7.48163826249203,7.98242285711326,7.875,8.08484343224659,7.875,7.875,7.875,8.01380029996374,7.875,7.875,7.875,7.875,7.375,7.875,7.875,8.06713362988965,7.98925054154024,7.34791655100485,7.34181016338214,7.375,7.375,7.125,7.125,7.375,7.375,7.375,7.125,6.91702571163811,6.974935552469,6.94542111990088,7.73293766761907,7.63841699012167,7.625,7.625,7.625,8.125,7.96187678581582,7.87267239285153,7.84029610311926,7.625
10.283586972734,10.375,10.875,10.875,10.625,10.375,10.5623978056149,10.625,10.665748119155,9.69398806371533,9.625,10.2547445077108,9.37626938854675,9.36674248865514,10.2070369059504,10.3302681483256,10.3016129662511,10.11979020134,10.0666610906615,9.79365610869476,8.625,8.625,8.1886402279941,8.24688376735189,8.1546737925366,8.130168131108,9.37057304093303,8.375,8.875,8.40638100620259,8.375,7.875,7.65306943774388,7.625,7.625,7.625,7.625,7.375,7.375,7.2728089678867,8.52008101163751,8.5152888530691,8.59694334771413,8.375,8.375,8.26176821498988,8.24476970052817,8.13354550722887,8.34635332024195,8.30559341261097,8.25706665434399,8.20989273227613,8.13355480675907,8.08657500531569,8.09769737115687,8.09486712451238,8.13534857978649,8.12615645996064,7.375,8.11528980415629,8.05319949528271,8.125,8.03747031705706,8.02042136874514,7.94816421704659,8.00037183378219,8.04768765323144,7.83100880230192,8.00442765180738,8.07771961634704,7.19622910403528,8.11622106215001,8.0885122408732,8.125,8.125,7.125,7.125,7.37080676108011,7.20388160060244,6.94438581810306,6.93227674490701,7.125,7.125,7.15296734397138,6.89837547316182,6.99365750782308,6.89654970650193,6.875,7.875,7.875,7.875,7.875,7.875,8.13042337132125,8.09042553107189,7.625,7.625,7.375
10.1789152576548,10.2680565561397,10.9318094323717,10.9362545209186,10.375,10.2275799908196,10.625,10.574425292485,10.7317584587124,9.65560198367346,9.55998355417485,10.125,9.44168042588916,9.21510975655224,10.125,10.1695215727722,10.125,10.0321493106622,9.98306764203877,9.625,8.47125156177981,8.875,8.28699165444788,8.375,8.25887224212747,8.26042171172314,9.375,8.125,9.125,8.375,8.125,7.78945487812562,7.69172493892389,7.43635782260207,7.61324313871372,7.55407540794362,7.59027138229713,7.37265096368844,7.32535687556547,7.28619505060139,8.48863056908201,8.48642552926921,8.59679567447019,8.46724648882722,8.41895110564234,8.375,8.375,8.3243656152469,8.37068946444579,8.31596948993717,8.25160045060559,8.19109998230511,8.125,8.125,8.12305859355497,8.01966497058583,8.1345589965885,8.125,7.125,8.125,8.125,8.14840647985278,8.106774999269,8.09557012553176,8.0607220469629,7.88557654020478,8.125,7.625,8.125,8.125,7.125,8.125,8.125,8.26993337820872,8.23450885107059,7.02473142573596,7.00015390385663,7.125,7.125,6.89388806082709,6.8760369837799,6.97324178071618,7.07972802709515,7.125,6.88029635829968,7.125,6.93653706708394,6.84517083281276,8.09943662823766,8.07763386353314,8.11331905768576,8.11871818053428,8.08127957785567,8.3025967177907,7.875,7.375,7.375,7.27511223444981
10.375,10.1551935591094,10.875,10.875,10.2734961336873,10.2021927155604,10.7562565118979,10.375,10.625,9.875,9.53782832871694,10.1197721865359,9.625,9.33476001003261,9.93551122744855,10.125,10.1227758805807,9.875,9.875,9.53782817669521,8.50048371652406,9.125,8.375,8.625,8.375,8.375,9.59257297998233,7.92638864445895,9.32720181445321,8.125,7.88099649005745,7.81390079261705,7.76557062338517,7.46259354292979,7.48160887381454,7.43316353198005,7.4147178524885,7.24789116379948,7.20340766556695,7.375,8.40260461858251,8.38325358054371,8.51864264662981,8.58474588742157,8.54638905923794,8.42237907879081,8.40165296440467,8.35718828701437,8.25467548311226,8.16852997294834,8.125,8.125,8.07429432590116,8.14076869628683,8.03604076570725,7.875,8.125,8.09546972455834,7.10807766251006,8.12941480181426,8.13735165924405,8.125,8.07310480043986,8.06208254442097,8.03328659495047,7.875,8.15826814431382,7.375,8.18001362454827,8.22400867022198,7.03923339181971,8.28347151669657,8.27743226780995,8.32981877147099,8.31892165395562,6.94204834393552,6.91819930581209,6.95482676810922,6.875,6.9848321487713,6.94453858317635,6.87937228891039,6.89367652088127,6.88046700364311,6.9626506206802,7.375,7.125,6.875,8.05458154337047,8.05533139528437,8.10218812247741,8.12095694937058,8.12279621463333,8.125,7.625,7.125,7.125,7.125
NaN,10.293285208358,10.8044716272052,10.733275200447,10.2001848406157,10.2231674939661,10.6653839642601,10.125,10.5767954994625,10.125,9.625,9.91721049568989,9.875,9.375,9.875,9.90173318740585,9.875,9.75527705719217,9.70318662917904,9.375,8.625,9.375,8.625,8.875,8.625,8.625,9.375,8.07290609050947,9.375,7.9079335354928,7.89170978513281,7.875,7.875,7.56059226178337,7.52076659759269,7.47429682557954,7.45505537298748,7.2962844404612,7.24712751066155,7.47025334699314,8.375,8.375,8.39917215012984,8.59698869072266,8.5725720527484,8.45301621879912,8.43101638645785,8.24961501728177,8.125,8.125,8.07246536915631,7.96506515743279,7.875,8.125,7.875,7.625,8.0332069713235,7.96497578739509,7.01755827392688,8.125,8.125,8.11593689825618,7.97548119561831,7.95729951937001,7.92120439997076,7.625,8.125,7.13852830740372,8.125,8.15203555868833,6.98834326607705,8.29982558366939,8.31615911450971,8.1358207042075,8.16815320259071,7.03316426749265,7.01232085287718,6.87696874411786,6.81932543443311,7.125,7.125,6.94584979327785,6.93647231964115,6.90035694070675,7.125,7.625,7.375,6.88266850697618,7.875,7.875,7.875,7.875,7.875,7.875,7.375,6.875,6.93309100987003,7.03997139167528
NaN,10.375,10.625,10.625,10.1591595225277,10.375,10.625,10.0516447687976,10.375,10.2943632919144,9.875,9.875,10.125,9.625,9.625,9.875,9.85217404034795,9.625,9.625,9.125,8.875,9.4978325198427,8.875,9.0845467526178,8.875,8.875,9.125,8.125,9.59957776433863,7.9117966453026,7.96581073357602,7.87754230166369,7.96724822616755,7.625,7.625,7.60451066948484,7.58728575871556,7.375,7.375,7.625,8.125,8.125,8.375,8.53115435622543,8.49978535855427,8.37784829198887,8.375,8.125,7.875,7.875,7.875,7.875,7.625,8.07441550328106,7.625,7.375,7.875,7.875,7.03212750182973,8.06168748844182,8.11897075306213,8.01227340316278,7.875,7.875,7.875,7.62150699521542,8.09048391800027,7.17851350460869,8.11491466170435,8.125,7.125,8.125,8.125,8.125,8.125,7.125,7.125,6.93131632930213,6.73013132031087,7.25294870251473,7.14630515844783,7.125,7.07957750368253,7.00859346879428,7.375,7.875,7.625,7.125,7.625,7.625,7.63842709514188,7.63707172993266,7.625,7.625,7.125,6.84408773239893,6.875,6.875
